model,method,frac,checkpoint name,file path,best accuracy
Exp3/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 00:36:22.927898_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,58.230000
Exp3/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 00:45:20.069347_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,58.540000
Exp3/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 00:54:14.759957_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,58.340000
Exp3/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 01:03:12.121117_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,74.230000
Exp3/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 01:25:03.295932_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,73.360000
Exp3/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-03 01:46:45.134967_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,72.870000
Exp3/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-03 02:18:40.634070_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,45.680000
Exp3/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-03 02:29:03.376267_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,43.470000
Exp3/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-03 02:39:22.206466_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,43.960000
Exp3/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-03 02:50:09.557987_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp3/mobilenet,
