model,method,frac,checkpoint name,file path,best accuracy
Exp1/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 05:10:34.620059_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,46.270000
Exp1/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 05:26:16.937972_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,45.960000
Exp1/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 05:42:14.502944_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,49.530000
Exp1/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 05:57:50.108900_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,37.270000
Exp1/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 06:13:39.346786_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,50.320000
Exp1/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 06:29:36.633295_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,31.960000
Exp1/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 06:58:00.924882_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,36.610000
Exp1/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 07:27:02.965793_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,40.980000
Exp1/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 07:54:49.075639_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,40.680000
Exp1/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-01 08:22:54.522016_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,40.360000
Exp1/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:02:51.155323_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,26.720000
Exp1/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:13:57.046008_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,23.270000
Exp1/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:25:09.001685_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,22.640000
Exp1/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:36:10.335828_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,21.920000
Exp1/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:47:21.624025_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,23.210000
Exp1/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 21:58:28.057882_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,35.610000
Exp1/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 22:21:22.741523_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,28.530000
Exp1/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 22:44:19.695000_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,34.380000
Exp1/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 23:07:22.365008_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,42.820000
Exp1/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-04-30 23:30:31.841233_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,21.950000
Exp1/mobilenet,Glister,0.1,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 17:57:31.265136_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,24.050000
Exp1/mobilenet,Glister,0.1,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 18:09:59.329222_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,32.930000
Exp1/mobilenet,Glister,0.1,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 18:22:30.662601_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,32.050000
Exp1/mobilenet,Glister,0.1,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 18:34:43.264059_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,28.900000
Exp1/mobilenet,Glister,0.1,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 18:47:11.006684_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,26.430000
Exp1/mobilenet,Glister,0.5,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 18:59:25.654421_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,36.740000
Exp1/mobilenet,Glister,0.5,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 19:24:11.671177_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,28.980000
Exp1/mobilenet,Glister,0.5,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 19:49:10.393295_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,29.760000
Exp1/mobilenet,Glister,0.5,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 20:13:30.847975_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,37.900000
Exp1/mobilenet,Glister,0.5,CIFAR10_MobileNetV3Small_Glister_exp0_epoch200_2023-04-30 20:38:06.043152_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,19.830000
Exp1/mobilenet,GraNd,0.1,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-04-30 23:53:51.643780_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,25.390000
Exp1/mobilenet,GraNd,0.1,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 00:19:09.567570_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,23.560000
Exp1/mobilenet,GraNd,0.1,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 00:44:45.047726_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,25.090000
Exp1/mobilenet,GraNd,0.1,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 01:10:17.549560_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,23.740000
Exp1/mobilenet,GraNd,0.1,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 01:36:07.515545_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,26.920000
Exp1/mobilenet,GraNd,0.5,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 02:01:58.542812_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,20.810000
Exp1/mobilenet,GraNd,0.5,CIFAR10_MobileNetV3Small_GraNd_exp0_epoch200_2023-05-01 02:39:42.428644_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp1/mobilenet,25.300000
